Name,Profession,Experience,Satisfaction,Waiting Time,Education,Fee,Location,To book appointments visit
Ms. S. Qurat Ul Ain Naqvi,"Psychologist, Counselor",11 Years,95%,Not Available,"M.Sc (Psychology), ADCP (Advanced Diploma in Clinical Psychology)","Rs. 1,200",Online Video Consultation (Online),https://oladoc.com/pakistan/lahore/dr/psychologist/s-qurat-ul-ain-naqvi/1471798
Ms. Ramsha Waleed,"Psychologist, Counselor",5 Years,100%,Under 15 Min,"B.S. Psychology, Advanced Diploma in Cognitive Behavioural Therapy, Diploma in Health Science, Certificate in Pharmacotherapy","Rs. 1,200",Online Video Consultation (Online),https://oladoc.com/pakistan/faisalabad/dr/psychologist/ramsha-waleed/1761023
Ms. Momna Rizwan,"Psychologist, Counselor",7 Years,98%,Under 15 Min,M.S. Clinical Psychology,"Rs. 1,200",Online Video Consultation (Online),https://oladoc.com/pakistan/faisalabad/dr/psychologist/momna-rizwan/1200571
Ms. Seerat Fatima,"Psychologist, Counselor",8 Years,100%,Under 15 Min,"Ph.D (Psychology), M.P.H., Advance Diploma In Clinical Psychology (ADCP), M.S. Applied Psychology","Rs. 1,500",Online Video Consultation (Online),https://oladoc.com/pakistan/rawalpindi/dr/psychologist/seerat-fatima/607002
Ms. Mishal Malik,"Psychologist, Counselor",7 Years,98%,Under 15 Min,"MSc (Psychology), ADCP","Rs. 1,400",Online Video Consultation (Online),https://oladoc.com/pakistan/video-consultation/dr/psychologist/mishal-malik/259278
Ms. Sobia Khateeb,Psychologist,10 Years,100%,Not Available,"MS (Applied Psychology), MS (Clinical Psychology), Master in Science & Public Health","Rs. 5,000","Online Video Consultation (Online), Imranz Clinic (I-8 Markaz), Murtaza Medical Complex (Bahria Town)",https://oladoc.com/pakistan/rawalpindi/dr/psychologist/sobia-khateeb/3175420
Dr. Imtiaz Bukhari,Psychologist,33 Years,96%,Under 15 Min,"M.Sc. (Psychology), PhD Psychology","Rs. 3,000",Islamabad Medicure Hospital (E-11),https://oladoc.com/pakistan/islamabad/dr/psychologist/imtiaz-bukhari/277570
Ms. Natasha Shaukat,"Psychologist, Nutritionist, Counselor",24 Years,100%,15 - 30 Min,"MPhil (Psychology), PGD Clinical Psychology, PGD Human Diet and Nutrition","Rs. 5,000",Neurocounsel (Blue Area),https://oladoc.com/pakistan/islamabad/dr/psychologist/natasha-shaukat-psy/2609380
Mr. Muhammad Umar Fayyaz,"Psychologist, Pediatric Psychologist",8 Years,89%,30 - 45 Min,"MS (Clinical Psychology), BS (Clinical Psychology)- Centre for Clinical Psychology","Rs. 3,000","Online Video Consultation (Online), Mindhealing Psychotherapy (Naval Anchorage)",https://oladoc.com/pakistan/islamabad/dr/psychologist/muhammad-umar-fayyaz/2976369
Ms. Ayesha Umer,Psychologist,7 Years,94%,15 - 30 Min,MS (Clinical Psychology),"Rs. 2,200","Online Video Consultation (Online), Clinics and Diagnostics Hospital (G-13)",https://oladoc.com/pakistan/islamabad/dr/psychologist/ayesha-umer/516271
Mr. Shahid Hussain Awan,Psychologist,9 Years,100%,15 - 30 Min,"M.Phil., PGD(Clinical Psychology), M.Sc","Rs. 2,000","Online Video Consultation (Online), Care Plus Medical Centre (G-8 Markaz), Saeed International Hospital (G-8 Markaz)",https://oladoc.com/pakistan/islamabad/dr/psychologist/shahid-hussain-awan/2221605
Ms. Komal Shahzadi,Psychologist,9 Years,100%,Not Available,"MSc. (Applied Psychology), I.C.A.P (US)","Rs. 3,000",Online Video Consultation (Online),https://oladoc.com/pakistan/islamabad/dr/psychologist/komal-shahzadi/662587
Ms. Faryal Basheer,Psychologist,5 Years,100%,Not Available,M.S. (Clinical Psychology),"Rs. 4,000",Pehchaan Clinic (G-8 Markaz),https://oladoc.com/pakistan/islamabad/dr/psychologist/faryal-basheer/305486
Ms. Sadaf Fatima,Psychologist,5 Years,100%,Under 15 Min,"BS (Clinical Psychology), MS (Clinical Psychology), Dip.(Cognitive Behavioral Therapy)","Rs. 3,000",Online Video Consultation (Online),https://oladoc.com/pakistan/rawalpindi/dr/psychologist/sadaf-fatima-psycologist/456834
Ms. S. Aliza Ali Kazmi,Psychologist,2 Years,100%,Under 15 Min,"Advance Diploma in Clinical Psychology , MSc. Applied Psychology","Rs. 1,000","Online Video Consultation (Online), Saak Clinic (Rawat Road)",https://oladoc.com/pakistan/islamabad/dr/psychologist/s-aliza-ali-kazmi/2041654
Mr. Aoun Abbas Joiya,Psychologist,5 Years,100%,Not Available,MS (Clinical Psychology),"Rs. 3,000","Online Video Consultation (Online), Cure Medical Center (Shaheed-E-Millat Road)",https://oladoc.com/pakistan/islamabad/dr/psychologist/aoun-abbas-joiya/1868588
Ms. Farhat Zareen,"Pediatric Psychologist, Nutritional Psychologist, Psychologist, Counselor",25 Years,92%,Under 15 Min,"MS (Clinical Psychology), M.Sc (Psychology), Post Magistral Diploma Examination in Clinical Psychology, Post Magistral Diploma in Clinical Psychology","Rs. 5,000","Online Video Consultation (Online), Farooq Hospital (Islamabad) (Bahria Town)",https://oladoc.com/pakistan/islamabad/dr/pediatric-psychologist/farhat-zareen/482526
Ms. Muneeba Khalid,Psychologist,5 Years,97%,15 - 30 Min,MSc (Psychology),"Rs. 2,000","Online Video Consultation (Online), Arif Medical Complex (Islamabad) (Jinnah Avenue)",https://oladoc.com/pakistan/islamabad/dr/psychologist/muneeba-khalid/209105
Dr. Muhammad Rizwan,Psychologist,23 Years,100%,15 - 30 Min,Ph.D (Clinical Psychology),"Rs. 5,000",General Practice Healthcare Centre (G-8 Markaz),https://oladoc.com/pakistan/islamabad/dr/psychologist/muhammad-rizwan-psychology/2573366
Ms. Robina Iqbal,Psychologist,25 Years,100%,Under 15 Min,M.S. (Applied Psychology),"Rs. 5,000",Online Video Consultation (Online),https://oladoc.com/pakistan/rawalpindi/dr/psychologist/robina-iqbal-psychologist/298325
Ms. Sana Majeed,"Speech and Language Pathologist, Psychologist",5 Years,100%,15 - 30 Min,"PGD (Speech & Language  Pathology), MS (Psychology), Applied Behavior Analysis (ABA)","Rs. 1,800",Progress Path Rehabilitation Center (G-11),https://oladoc.com/pakistan/islamabad/dr/speech-and-language-pathologist/sana-majeed/1801618
Ms. Nosheen Tariq Khan,"Psychologist, Counselor",5 Years,100%,Not Available,"M.Sc (Clinical Psychology), ADCP (Advanced Diploma in Clinical Psychology)","Rs. 3,500","Online Video Consultation (Online), Caring Ways Rehab and Psychiatric Center (Bani Gala)",https://oladoc.com/pakistan/islamabad/dr/psychologist/nosheen-tariq-khan/1104986
Prof. Dr. Iffat Rohail,"Psychologist, Counselor",25 Years,100%,Under 15 Min,PhD (Psychology),"Rs. 4,000",Online Video Consultation (Online),https://oladoc.com/pakistan/islamabad/dr/psychologist/iffat-rohail/1838929
Dr. Asma Mansoor,Psychologist,12 Years,100%,Under 15 Min,"M.Sc (Psychology), M.Phil, P.D.C.P, C.B.I.T.S (USA), T.F.W (Aus), D.hms/Rhmp, MSCT(UK), PFA(USA), MT(UK)","Rs. 2,000","Farid Family Hospital (Rawalpindi) (Askari-11), Nexus Diagnostics (Rawalpindi) (Cantt.)",https://oladoc.com/pakistan/rawalpindi/dr/psychologist/asma-mansoor/128363
Ms. Marriam Habib,"Psychologist, Counselor",9 Years,99%,Under 15 Min,"M.S. Clinical Psychology, B.S. Psychology","Rs. 2,000","Online Video Consultation (Online), Naqaish Medicare (I-8 Markaz)",https://oladoc.com/pakistan/islamabad/dr/psychologist/mariam-habib/1081731
Ms. Zile Huma Suleman,Psychologist,2 Years,100%,Under 15 Min,BS (Psychology),"Rs. 1,500","Online Video Consultation (Online), Khatiba International Hospital (PWD Road)",https://oladoc.com/pakistan/islamabad/dr/psychologist/zile-huma-suleman/2856455
Dr. Halima S. Qureshi,Psychologist,10 Years,100%,Under 15 Min,"PhD (Clinical Psychology) , Master Practitioner Neuro-Linguistic Programming (NFNLP,USA)","Rs. 5,000","Online Video Consultation (Online), Islamabad Health Services (Naval Anchorage), Psychologists Hub (Jinnah Avenue)",https://oladoc.com/pakistan/islamabad/dr/psychologist/haleema-sadia/102889
Mr. Syed Asghar Ali Shah,Psychologist,2 Years,Not Available,Not Available,MA (Psychology),"Rs. 3,000",Capital Diagnostic Center (I-10 Markaz) (I-10),https://oladoc.com/pakistan/lahore/dr/psychologist/syed-asghar-ali-shah/2523949
Ms. Yusra Malik,Psychologist,5 Years,100%,Under 15 Min,MS (Clinical Psychology),"Rs. 3,000",Institute Of Medical Rehabilitation (IMR) (G-8 Markaz),https://oladoc.com/pakistan/islamabad/dr/psychologist/yusra-malik/2655675
Ms. Rubab Afzal,Psychologist,10 Years,100%,Not Available,"M.Phil in Clinical Psychology., PGD in Clinical Psychology","Rs. 1,800","Online Video Consultation (Online), Lifeline Speciality Clinic (Media Town)",https://oladoc.com/pakistan/islamabad/dr/psychologist/rubab-afzal/1101078
Ms. Farina Umar,Psychologist,10 Years,100%,Not Available,Diploma in Counselling,"Rs. 1,500","Online Video Consultation (Online), Executive Clinics and Pharmacy (Bahria Town)",https://oladoc.com/pakistan/rawalpindi/dr/psychologist/farina-umar/1116031
Ms. Maryam Iqbal,Psychologist,6 Years,100%,Not Available,M.Phil. (Clinical Psychology),"Rs. 1,500",Online Video Consultation (Online),https://oladoc.com/pakistan/islamabad/dr/psychologist/maryam-iqbal/1496936
Ms. Nazia Gulzar,Psychologist,3 Years,Not Available,Not Available,MSc (Psychology),"Rs. 4,000",Sarf Hospital (F-10 Markaz),https://oladoc.com/pakistan/islamabad/dr/psychologist/nazia-gulzar/1033978
Mr. Sajjad Ullah Khan,Psychologist,3 Years,100%,Not Available,B.S. Psychology,"Rs. 1,500",Online Video Consultation (Online),https://oladoc.com/pakistan/islamabad/dr/psychologist/sajjad-ullah-khan/793002
Ms. Rafia Hanif,"Psychologist, Speech and Language Pathologist",3 Years,100%,Under 15 Min,"PGD (Speech & Language Therapy), BS (Psychology)","Rs. 2,500","Online Video Consultation (Online), Young Children Development Center (Zaraj Housing Society), Talat Medical Complex (DHA)",https://oladoc.com/pakistan/islamabad/dr/psychologist/rafia-hanif/1506551
Dr. Khola Ayub,Psychologist,5 Years,100%,Under 15 Min,BS (Psychology),"Rs. 3,000",Dr. Akbar Niazi Teaching Hospital - Executive Clinics (G-8 Markaz),https://oladoc.com/pakistan/islamabad/dr/psychologist/khola-ayub/3179580
Dr. Abrar Umar,Psychologist,15 Years,86%,Not Available,"M.B.B.S., CCBT, OCTC (UK), MPH, CH NGH (USA)","Rs. 1,500",Online Video Consultation (Online),https://oladoc.com/pakistan/islamabad/dr/psychologist/abrar-umar/202111
Ms. Janita Ilyas,Psychologist,2 Years,100%,15 - 30 Min,BS (Psychology),"Rs. 2,500","Online Video Consultation (Online), Naqaish Medicare (I-8 Markaz)",https://oladoc.com/pakistan/islamabad/dr/psychologist/janita-ilyas-psychologist/2279748
Ms. Sadaf Irfan Abbasi,"Psychologist, Counselor",11 Years,97%,15 - 30 Min,"B.S. Psychology, M.S.C Psychology, CBT Certification, DP ( institute of  counselling), A.D.C.P, Mphil","Rs. 4,000","Psyclounge (Islamabad) (I-8 Markaz), Online Video Consultation (Online)",https://oladoc.com/pakistan/islamabad/dr/psychologist/sadaf-irfan-abbasi-psychologist/572803
Ms. S Nida Zahra,"Psychologist, Speech and Language Pathologist",5 Years,100%,Under 15 Min,"BS (Psychology), MS (Speech and Language Pathology)","Rs. 2,000",Hanif Medical Complex (Faisal Town) (Faisal Town),https://oladoc.com/pakistan/islamabad/dr/psychologist/s-nida-zahra/2558426
Ms. Misbah Shaheen,Psychologist,5 Years,100%,15 - 30 Min,MSc (Psycholog),"Rs. 2,500","Online Video Consultation (Online), Better You Clinic (Bahria Town)",https://oladoc.com/pakistan/islamabad/dr/psychologist/misbah-shaheen/2670408
Ms. Aqsa Ejaz,"Psychologist, Counselor",3 Years,97%,Under 15 Min,BS Applied Psychology,"Rs. 1,000",oladoc Care Video Consultation (Online),https://oladoc.com/pakistan/faisalabad/dr/psychologist/aqsa-ejaz/2981403
Ms. Haleema Noor,Psychologist,2 Years,100%,Not Available,BS (Psychology),"Rs. 2,000","Online Video Consultation (Online), Khatiba International Hospital (PWD Road)",https://oladoc.com/pakistan/islamabad/dr/psychologist/haleema-noor/2887315
Ms. Ramal Asgher,Psychologist,8 Years,Not Available,Not Available,Master (Applied Psychology),"Rs. 4,000",Online Video Consultation (Online),https://oladoc.com/pakistan/islamabad/dr/psychologist/ramal-asgher/333961
Ms. Fizza Amjad,Psychologist,6 Years,100%,Under 15 Min,BS (Psychology),"Rs. 2,000","Online Video Consultation (Online), Afiya Clinic (Rawat Road)",https://oladoc.com/pakistan/islamabad/dr/psychologist/fizza-amjad/1569110
Ms. Ghazal Manzoor,Psychologist,12 Years,Not Available,Not Available,"BS (Applied Psychology), MS (Clinical Psychology)","Rs. 4,000",Naqaish Medicare (I-8 Markaz),https://oladoc.com/pakistan/islamabad/dr/psychologist/ghazal-manzoor/3184584
Ms. Qurrah Tul Ain,"Psychologist, Speech and Language Pathologist",6 Years,98%,Under 15 Min,"P.hD Clinical Psychology Scholar, MS (Speech and Language Pathology), MS (Clinical Psychology), PGD in Speech & Language Therapy, PGD in Forensic Psychology, M.Sc (Applied Psychology), Certificate Of Clinical Hypnosis, Certificate Cognitive Behavioral The","Rs. 2,000",Capital Diagnostic Center (Media Foundation Plaza) (G-8 Markaz),https://oladoc.com/pakistan/islamabad/dr/psychologist/qurrah-tul-ain/429431
Ms. Saima Khan,Psychologist,5 Years,100%,Under 15 Min,M.Sc (Clinical Psychology),"Rs. 2,000",Not Available,https://oladoc.com/pakistan/islamabad/dr/psychologist/saima-khan-psychologist/1077432
Ms. Tahira Javed,Psychologist,12 Years,97%,Under 15 Min,"Master Practitioner Neuro Linguistic Programming(NFNLP-USA), Practioner Cognitive  Behavior Therapy(CBT and Schema Focussed Therapy), Practioner Eidetic Therapy for Trauma Survivors(Edetic Solutions,Ireland),, Practioner Hypo Therapy(NGH-USA)","Rs. 5,500","Online Video Consultation (Online), Pehchaan Clinic (G-8 Markaz)",https://oladoc.com/pakistan/islamabad/dr/psychologist/tahira-javed/261395
Ms. Najma Hayat,Psychologist,6 Years,100%,15 - 30 Min,"MS (Clinical Psychology), Licensed Practitioner of Hypnotherapy (NGH-USA) , Certified Eidetic Therapist (Ireland) , Certified Play Therapist (PACP), Certified Sensory Integration Therapist (FFUI)","Rs. 1,500",Online Video Consultation (Online),https://oladoc.com/pakistan/islamabad/dr/psychologist/najma-hayat/727309
Dr. S. Raazia Bukhari,"Psychologist, Counselor",17 Years,100%,Under 15 Min,"Ph.D.(Clinical Psychology), M.phill (Clinical Psychology), Certificate Of Clinical Hypnosis , Specialization in Cognitive Therapies , Certificate Cognitive Behavioral Therapy , Diploma in Forensic Psychology","Rs. 5,000","Online Video Consultation (Online), Rehman Hospital (Islamabad) (G-8 Markaz)",https://oladoc.com/pakistan/islamabad/dr/psychologist/s-raazia-bukhari/824219
Mr. Sami Ullah,Psychologist,4 Years,Not Available,Not Available,MS Psychology,"Rs. 3,000",Not Available,https://oladoc.com/pakistan/islamabad/dr/psychologist/sami-ullah-psychologist/2156915
Ms. Shahida Iftikhar,Psychologist,18 Years,97%,Under 15 Min,"MSc (Psychology), Diploma in CBT","Rs. 2,500","Online Video Consultation (Online), Reliance Hospital  (Bahria Town), Mumtaz Medical and Dental Complex (DHA)",https://oladoc.com/pakistan/islamabad/dr/psychologist/shahida-iftikhar/121610
Ms. Zubia Zubair,"Psychologist, Counselor",5 Years,100%,15 - 30 Min,CPCAB - Diploma in Psychotherapy,"Rs. 5,000","Online Video Consultation (Online), Maroof International Hospital (F-10 Markaz)",https://oladoc.com/pakistan/islamabad/dr/psychologist/zubia-zubair/1258291
Ms. Masooma Ijaz,Psychologist,8 Years,100%,15 - 30 Min,M.Phil. (Psychology),"Rs. 3,000","Online Video Consultation (Online), Medicsi OPD 2 (F-7 Markaz)",https://oladoc.com/pakistan/islamabad/dr/psychologist/masooma-ijaz/700785
Ms. Arooj Irfan,Psychologist,7 Years,100%,Under 15 Min,"BS (Psychology), M.A (Special Education), PMDCP","Rs. 2,000",Online Video Consultation (Online),https://oladoc.com/pakistan/islamabad/dr/psychologist/arooj-irfan/318236
Ms. Sumera Bhatti,Psychologist,7 Years,Not Available,Under 15 Min,"MSc (Applied Psychology), ADCP","Rs. 2,000",The New Life Rehab Center (Soan Garden),https://oladoc.com/pakistan/islamabad/dr/psychologist/sumera-bhatti/516487
Ms. Ruby Irum,"Speech and Language Pathologist, Psychologist",22 Years,97%,Under 15 Min,"MS Speech & Language Pathology, Diploma in Speech Therapy, MSc (Psychology),","Rs. 2,000",Online Video Consultation (Online),https://oladoc.com/pakistan/islamabad/dr/speech-and-language-pathologist/ruby-irum/826797
Ms. Arooba Imtiaz,"Psychologist, Counselor",6 Years,98%,Under 15 Min,"MS(Clinical Psychology), UK Certified (Academic & Cultural Exchange Programme)","Rs. 12,000",Online Video Consultation (Online),https://oladoc.com/pakistan/islamabad/dr/psychologist/arooba-imtiaz/909231
Ms. Seemab Shakeel,Psychologist,3 Years,100%,Not Available,"BS (Psychology), Advanced Diploma in Clinical Psychology","Rs. 2,000",Online Video Consultation (Online),https://oladoc.com/pakistan/islamabad/dr/psychologist/seemab-shakeel/2106531
Ms. Fatima Hassan,Psychologist,4 Years,100%,Under 15 Min,"MSc. (Psychology), ADCP, MS. Clinical Psychology","Rs. 1,500","Online Video Consultation (Online), Sadri Health Services (F-10)",https://oladoc.com/pakistan/rawalpindi/dr/psychologist/fatima-hassan-psychologist/1083081
Ms. Anum Ijaz Gardezi,"Counselor, Psychologist",4 Years,80%,Not Available,M.Sc (Psychology),"Rs. 3,500",Not Available,https://oladoc.com/pakistan/islamabad/dr/counselor/anum-ijaz-gardezi/483748
Ms. Ismat Anono,Psychologist,2 Years,Not Available,Not Available,"M.Sc. (Psychology), Advanced Diploma ( Clinical Psychology )","Rs. 3,000",Not Available,https://oladoc.com/pakistan/islamabad/dr/psychologist/ismat-anono/1207630
Ms. Semra Salik,Psychologist,8 Years,100%,Not Available,"PhD , M.S (Clinical Psychology)","Rs. 5,000",Online Video Consultation (Online),https://oladoc.com/pakistan/islamabad/dr/psychologist/semra-salik/1556704
Ms. Farhat Jan,"Psychologist, Counselor",5 Years,100%,Under 15 Min,"BS (Hons.), MS (Clinical Psychology)","Rs. 3,500","Online Video Consultation (Online), Farhat Jan Clinic (Soan Garden)",https://oladoc.com/pakistan/islamabad/dr/psychologist/farhat-jan/695840
Commander (R) Dr. Fayyaz Ahmed Anjum,"Psychologist, Counselor",33 Years,93%,Under 15 Min,"MS ( Clinical Psychology ), PhD","Rs. 4,000","Online Video Consultation (Online), Clinical and Counseling Psychology Center (Naval Anchorage)",https://oladoc.com/pakistan/islamabad/dr/psychologist/fayyaz-ahmed-anjum/1312460
Ms. Anam Azher,Psychologist,8 Years,100%,Under 15 Min,"M.Phill (Clinical Psychology), M.Sc (Applied Psychology)","Rs. 2,000",Online Video Consultation (Online),https://oladoc.com/pakistan/islamabad/dr/psychologist/anam-azher/1439633
Ms. Noor E Saher Ali,Psychologist,5 Years,100%,Not Available,MS (Clinical Psychology),"Rs. 1,200",Online Video Consultation (Online),https://oladoc.com/pakistan/islamabad/dr/psychologist/noor-e-saher-ali/1747381
